Word,Val,AbsVal,Sent,AbsSent,DominantModality
dim,5.670717949,0.911754952,0.308666667,0.577072356,Sight
dirty,5.396744186,1.041647502,0.095174935,0.51469587,Sight
downy,5.875882353,1.152216694,0.4662,0.537807328,Sight
drab,5.702307692,0.942307176,0.171114286,0.498316529,Sight
dry,5.469625668,0.913745739,0.243444056,0.625744773,Touch
dull,5.377754386,1.130005194,0.092355072,0.558965361,Sight
dusty,5.498056426,0.848374421,0.216871287,0.54573326,Sight
earthy,5.9436,1.270230212,0.379395833,0.765985383,Sight
echoing,5.227454545,1.043776069,0.108236364,0.465400857,Sound
eggy,6.436,1.777691843,1.07675,1.327757852,Taste
elastic,5.487065217,0.834874229,-0.028510638,0.557829787,Touch
elegant,5.783939394,0.971478009,0.285729437,0.623574023,Sight
empty,5.501381669,0.871316108,0.242671491,0.592348224,Sight
enormous,5.308307692,1.10687257,0.012227683,0.646293771,Sight
faint,5.395808581,1.107087866,0.193757475,0.644357725,Sight
falling,5.42992,0.970258208,0.172983471,0.542554108,Sight
fat,5.380684932,1.036814433,0.045331429,0.629380683,Sight
fatty,5.365283019,0.945268198,0.203791667,0.693666667,Taste
fetid,5.210606061,1.234871678,-0.060294118,0.840940253,Smell
feverish,5.6364,1.145830413,0.180381443,0.502096183,Touch
filthy,5.32619883,1.025456323,0.107319277,0.555008294,Sight
fishy,5.7956,1.158830212,0.143425926,0.649982063,Smell
flaky,5.906,1.082109337,0.118486486,0.632595868,Touch
flat,5.48552809,0.841512204,0.138405286,0.591208709,Sight
fleshy,5.603472222,0.875181129,0.1761,0.464273223,Sight
flickering,5.691851852,0.949068915,0.296746835,0.659257339,Sight
floppy,5.60125,0.742339292,0.211272727,0.42054831,Sight
floral,5.783373494,1.030435094,0.394339506,0.751000031,Sight
flowery,5.849807692,1.109452127,0.27892,0.625002513,Sight
fluffy,5.941969697,0.943600812,0.410217391,0.567992107,Touch
foamy,5.396153846,1.188323134,0.335842105,0.770318269,Sight
foggy,5.673283582,0.909850296,0.425439394,0.629839995,Sight
forked,5.738125,0.857211103,0.3503,0.544639615,Sight
fragrant,5.860545455,1.172167354,0.637763636,0.796209993,Smell
freezing,5.465164835,0.920878789,0.107438202,0.527103417,Touch
fresh,5.453644159,1.058009421,0.247532468,0.677849549,Smell
frosty,5.83578125,1.050444204,0.302692308,0.581189689,Sight
fruity,5.958382353,1.080191784,0.570310811,0.75977791,Taste
fuzzy,5.703173432,0.951345024,0.167674157,0.522680196,Sight
garlicky,5.971944444,1.211602048,0.610111111,0.797176263,Taste
gigantic,5.379981618,1.009014184,0.14768785,0.628786025,Sight
giggling,5.805238095,1.316776004,0.0212,0.497596859,Sound
glamorous,5.867992126,1.031383504,0.239468,0.495542513,Sight
gleaming,5.567815385,0.861000852,0.29075625,0.560880202,Sight
glistening,5.636195122,0.913354261,0.28328934,0.601567198,Sight
glittery,5.607974684,0.94395286,0.192556962,0.53871065,Sight
globular,5.597142857,0.697252194,0.0773,0.501095289,Sight
glossy,5.69556213,0.870905272,0.267028902,0.582871863,Sight
glowing,5.707633588,0.926597737,0.262279373,0.569102784,Sight
gold,5.510550459,0.832349659,0.212587156,0.508773668,Sight
gooey,5.731956522,1.142809011,0.239909091,0.670343407,Touch
gorgeous,5.921105882,1.104730692,0.426390995,0.643675677,Sight
grainy,5.741573034,0.986248459,0.0854,0.592579174,Touch
grassy,5.638606061,0.81696927,0.219238994,0.474903618,Sight
gray,5.377326944,0.879013424,0.269956943,0.584393368,Sight
greasy,5.462868852,0.986809305,0.209275424,0.567668315,Touch
green,5.522520516,0.918839048,0.229263521,0.637912524,Sight
gritty,5.712488889,1.063397874,0.246355856,0.537953987,Touch
groaning,5.3925,1.069697526,0.184928571,0.385146222,Sound
grotesque,5.153974359,1.224296357,-0.214844749,0.756568267,Sight
growling,5.283823529,0.979162668,0.049911765,0.529089159,Sound
grubby,5.602173913,0.973087701,0.169742424,0.426079089,Sight
gurgling,5.121621622,1.49070684,-0.169567568,0.781133013,Sound
hairy,5.195744681,0.996947462,-0.020716578,0.509164852,Sight
handsome,5.71040153,0.990935016,0.145710983,0.537131908,Sight
happy,5.628561644,1.141903416,0.112581655,0.580655176,Sight
hard,5.441934884,0.979582548,0.110767956,0.558275558,Touch
harsh,5.249680171,1.02297013,-0.032264317,0.623418018,Sound
hazy,5.745,1.064040557,0.384396104,0.66664714,Sight
heavy,5.205227119,0.939753686,0.099854583,0.633693484,Touch
high,5.436636829,0.993667823,0.050994819,0.678831267,Sight
hissing,5.35704918,0.999381903,0.253857143,0.684685282,Sound
hoarse,5.390217391,1.22841127,-0.056588235,0.696941484,Sound
hollow,5.444704433,0.933684833,0.134235897,0.517545684,Sight
honeyed,5.940416667,1.101602048,0.292130435,0.922658319,Taste
hot,5.528398719,0.999291429,0.264069477,0.631770058,Touch
howling,4.933522727,1.280970315,0.104747126,0.695069507,Sound
huge,5.262619254,1.000398121,0.065123412,0.678684885,Sight
humid,5.586162791,1.110831519,0.338202247,0.562118182,Touch
hushed,5.672018349,1.247903675,0.122443396,0.691862046,Sound
husky,5.609876543,1.120711897,0.137644737,0.453882819,Sound
icy,5.434382022,1.015641898,0.339471698,0.716037537,Sight
immense,5.405320122,1.139663207,0.044130159,0.664061265,Sight
insipid,6.155227273,1.431870137,-0.1328,0.669553113,Sight
itchy,5.224848485,1.02463853,0.142447761,0.460451277,Touch
jagged,5.306728972,0.843802882,0.246238806,0.538531348,Touch
jammy,5.517142857,1.41087901,0.192,0.636890634,Taste
jingling,5.798,1.248461229,0.6238,0.758206281,Sound
juicy,5.674646465,1.117233463,0.243393204,0.600307655,Taste
khaki,5.744918033,0.831512721,0.25284127,0.480498793,Sight
large,5.371699427,0.883640211,0.188187581,0.649644371,Sight
laughing,5.542653061,1.155933782,-0.030636364,0.51146195,Sound
leathery,5.649411765,0.746696286,0.337411765,0.524886972,Touch
lemony,6.201777778,1.355127672,0.780625,0.91405279,Taste
light,5.461285831,0.901889698,0.230668023,0.61965099,Sight
lilting,6.17125,1.297114804,0.5034,0.637672948,Sight
lithe,5.680909091,0.924559004,0.252862745,0.526514423,Sight
little,5.248460458,1.006403959,0.087386576,0.715857707,Sight
long,5.283406473,0.923859872,0.134224957,0.63314965,Sight
loose,5.419716088,0.774770396,0.065110749,0.579434708,Sight
loud,5.208567639,1.017706465,-0.009465608,0.623614089,Sound
low,5.38074108,0.946057895,0.014958716,0.651570243,Sight
lukewarm,6.003924051,1.174507757,0.3914125,0.741891818,Touch
lumpy,5.75376,0.932042538,0.184432,0.494883392,Touch
lush,5.970545455,1.049936465,0.354795349,0.669462314,Sight
malty,5.87,0.967252194,0.71625,1.344011777,Taste
meaty,5.502743363,0.929706976,0.306575221,0.684809062,Taste
medicinal,5.528715596,0.978404705,0.125419048,0.558867115,Sight
mellow,5.997295082,1.073284385,0.412645669,0.78016255,Sight
melodious,5.941627907,1.300428816,0.319854167,0.648107438,Sound
melted,5.526966292,0.96280865,0.368268817,0.742424927,Sight
meowing,5.53,0.466153072,-0.609,0.672984297,Sound
mild,4.81497553,1.299486783,-0.01188551,0.76000724,Taste
miniature,5.61950783,0.974394723,0.375247059,0.668382272,Sight
minty,6.074827586,1.194800501,0.5178,0.750003141,Taste
misty,5.768053691,1.100541644,0.386066667,0.623565025,Sight
moaning,5.2115,0.889345922,-0.02215,0.499245289,Sound
moist,5.59518018,1.02707171,0.324640553,0.625281636,Touch
motionless,5.533119266,0.9117992,0.102981982,0.408316589,Sight
mottled,5.611685393,0.938971,0.17777381,0.498183058,Sight
muddy,5.317741935,0.897597765,0.152627586,0.538589672,Sight
muffled,5.111319444,1.142815053,0.078992908,0.560651925,Sound
muggy,6.271428571,1.249559776,0.616875,0.585261777,Sight
mumbling,5.153846154,0.782781006,0.177416667,0.607583333,Sound
murky,5.51844898,0.988750067,0.159689362,0.596984783,Sight
murmuring,5.677307692,1.067543962,0.42872,0.533206909,Sound
mushroomy,5.5,1.013691843,0.0712,0.244796859,Taste
mushy,5.556268657,0.867003202,0.128294118,0.555443486,Touch
musky,5.776756757,1.327421682,0.542472222,0.872534757,Smell
musty,5.468288288,0.919022527,0.176432692,0.589609997,Smell
mute,5.380520231,1.216780528,-0.067005814,0.617864271,Sound
muttering,6.056666667,0.992819739,0.462,0.628507852,Sound
narrow,5.395671141,0.7570011,0.089992916,0.577221873,Sight
noisy,5.364528302,1.057078363,0.130005525,0.583427757,Sound
noxious,4.849032258,1.110612134,0.002,0.677447373,Smell
nutty,6.013333333,1.128756244,0.327776699,0.626130025,Taste
odorous,5.362857143,1.060769194,0.153619048,0.520100473,Smell
oily,5.468781726,1.00021056,0.278619792,0.576499208,Sight
oniony,5.8725,1.495576536,0.463125,1.133378926,Taste
open,5.32737931,0.951692065,0.090132427,0.639734764,Sight
orange,5.591410959,0.878637132,0.354780521,0.620530353,Sight
oval,5.605567568,0.835400833,0.309716578,0.562866925,Sight
painful,5.002169391,1.153607197,-0.041280125,0.654378152,Touch
palatable,5.721764706,0.975338843,-0.117984375,0.461166968,Taste
pale,5.593280632,0.986369369,0.292592742,0.559286754,Sight
patterned,5.686810345,0.771969042,0.33604386,0.573558417,Sight
peachy,6.249565217,1.18571829,0.63812,0.711728166,Taste
peppery,5.613488372,1.088246563,0.64148,0.880566909,Taste
perfumed,5.936666667,1.217066264,0.560642857,0.646564321,Smell
petite,5.988045977,1.120255814,0.354597938,0.654620985,Sight
pink,5.613787529,0.924535048,0.346882151,0.622891435,Sight
plain,5.499516729,1.15646522,0.069840074,0.699625298,Sight
polished,5.67347541,0.895167319,0.154309764,0.668340137,Sight
popping,5.0285,0.6495,0.234,0.570844585,Sound
portly,5.631935484,0.881438782,-0.034467742,0.492371474,Sight
prickly,5.739300699,1.112667695,0.201934783,0.505675051,Touch
puffy,5.876375,1.049182151,0.359865854,0.52331024,Sight
pulsing,5.612375,1.046893883,0.239727273,0.510068402,Touch
pungent,5.657480916,1.064579769,0.345969231,0.791636567,Smell
puny,5.683370787,1.076620162,0.012376344,0.586010922,Sight
purple,5.5071777,0.894631129,0.32635163,0.63989033,Sight
